word,unique_id,label
seme,25884442_e_1.17_1.25,1.0
sempre,24954240_<dummye>_5.22_5.23,0.0
insieme,20245231_e_2.84_2.97,1.0
fibre,25514974_e_1.89_1.96,1.0
fiume,19992765_e_3.15_3.22,0.0
bollire,21341324_e_1.71_1.86,1.0
come,20032730_e_5.64_5.68,1.0
come,20237889_e_3.35_3.45,1.0
maritime,20063102_<dummye>_3.98_3.99,0.0
guarnire,20009634_e_1.48_1.68,1.0
equestre,20040795_<dummye>_3.73_3.74,-1.0
maggiore,21344404_e_2.77_3.51,1.0
norme,26946000_e_3.77_3.84,1.0
come,25343409_e_1.42_1.48,0.0
chiare,20312637_e_3.2_3.65,-1.0
superiore,26160600_e_2.96_3.24,0.0
militare,20034555_e_5.02_5.08,1.0
essere,20024544_e_3.29_3.34,0.0
quartiere,20069172_e_2.25_2.37,1.0
nome,19976293_e_1.4_1.45,1.0
sudore,18813847_e_3.86_4.2,1.0
come,35207282_<dummye>_3.94_3.95,0.0
nome,20024960_e_3.44_3.56,1.0
tre,20075808_e_2.22_2.26,0.0
nucleare,19521256_e_5.16_5.28,1.0
scorrere,20088666_e_2.34_2.38,1.0
altre,35173088_e_2.47_2.51,0.0
camere,20683182_e_2.31_2.34,1.0
amministratore,27428309_e_4.42_4.46,1.0
giocare,20023466_e_2.74_2.84,1.0
subire,20025118_e_3.42_3.46,-1.0
tre,20263074_e_3.19_3.24,1.0
come,20311390_e_4.02_4.08,1.0
prime,20056987_e_2.95_3.0,1.0
maggiore,20017325_e_1.79_1.85,1.0
come,19987137_e_3.78_4.37,-1.0
come,22373695_e_3.45_3.52,1.0
prime,20277080_e_1.38_1.44,1.0
lettere,19977639_e_2.12_2.44,0.0
come,27141343_<dummye>_1.1_1.11,1.0
come,26987201_e_4.64_4.68,1.0
operatore,20246874_e_4.27_4.32,1.0
sposare,19995300_e_2.38_2.46,1.0
muore,38388927_e_0.74_0.85,1.0
dolore,20080245_e_1.38_1.45,1.0
misure,20297621_e_2.75_3.53,1.0
risparmiare,17664545_<dummye>_3.46_3.47,0.0
lavoratore,26048287_e_3.28_3.36,1.0
fondatore,20016788_e_2.34_2.47,1.0
salvatore,36085137_e_1.23_1.28,1.0
dell'autore,22940499_e_3.06_3.15,1.0
vincitore,20245329_e_2.64_2.85,1.0
tre,26722849_e_0.19_0.42,-1.0
splendore,18221185_e_3.29_3.36,1.0
giustiziere,38116311_e_2.44_2.48,1.0
pietre,18711186_<dummye>_2.35_2.36,0.0
sconfiggere,20047677_<dummye>_3.08_3.09,0.0
precettore,20016032_e_1.66_1.73,1.0
tre,36827130_e_2.69_2.8,1.0
madre,19996600_e_4.57_4.69,1.0
sempre,25207264_e_2.52_2.66,1.0
organizzare,18189852_<dummye>_2.25_2.26,1.0
riconoscere,21891075_e_2.6_2.67,1.0
gestire,18383904_e_3.53_3.61,0.0
popolare,20022814_<dummye>_5.94_5.95,0.0
adventure,19975493_<dummye>_4.96_4.97,-1.0
essere,19910820_<dummye>_4.01_4.02,0.0
collare,20236843_<dummye>_6.31_6.32,0.0
sempre,23755944_<dummye>_6.49_6.5,0.0
software,19459551_<dummye>_1.56_1.57,-1.0
scaturire,20013981_<dummye>_2.23_2.24,0.0
predecessore,20036775_e_4.16_4.19,1.0
galleggiare,18834150_e_1.33_1.53,1.0
essere,21547148_<dummye>_1.61_1.62,0.0
anteriore,20004081_<dummye>_3.79_3.8,0.0
popolare,19813136_<dummye>_1.84_1.85,-1.0
trattare,20239910_<dummye>_3.82_3.83,0.0
finire,20089864_<dummye>_1.81_1.82,1.0
puntatore,20303087_e_2.3_2.35,1.0
usare,19996404_e_1.13_1.17,1.0
insegnare,18691734_e_3.26_3.29,1.0
affrontare,20285306_e_3.34_3.44,1.0
pittore,20299070_e_3.31_3.34,1.0
vincere,26939455_e_1.81_1.92,1.0
arrivare,32370264_e_3.51_3.56,1.0
inoltre,20314198_e_1.14_1.73,1.0
come,24821700_e_4.8_4.84,1.0
inoltre,30091486_e_1.49_1.58,1.0
sconfiggere,17921512_<dummye>_3.74_3.75,0.0
prime,20090536_e_1.29_1.37,1
