word,unique_id,label
seme,25884442_e_1.17_1.25,1.0
sempre,24954240_<dummye>_5.22_5.23,0.0
insieme,20245231_e_2.84_2.97,1.0
fibre,25514974_e_1.89_1.96,1.0
fiume,19992765_e_3.15_3.22,0.0
bollire,21341324_e_1.71_1.86,1.0
come,20032730_e_5.64_5.68,1.0
come,20237889_e_3.35_3.45,1.0
maritime,20063102_<dummye>_3.98_3.99,0.0
guarnire,20009634_e_1.48_1.68,1.0
equestre,20040795_<dummye>_3.73_3.74,-1.0
maggiore,21344404_e_2.77_3.51,1.0
norme,26946000_e_3.77_3.84,1.0
come,25343409_e_1.42_1.48,0.0
chiare,20312637_e_3.2_3.65,-1.0
superiore,26160600_e_2.96_3.24,0.0
militare,20034555_e_5.02_5.08,1.0
essere,20024544_e_3.29_3.34,0.0
quartiere,20069172_e_2.25_2.37,1.0
nome,19976293_e_1.4_1.45,1.0
sudore,18813847_e_3.86_4.2,1.0
come,35207282_<dummye>_3.94_3.95,0.0
nome,20024960_e_3.44_3.56,1
tre,20075808_e_2.22_2.26,0
