word,unique_id,label
Mostrare,17415771_e_2.16_2.29,1.0
firmare,17415773_e_1.9_2.01,1.0
come,17415773_e_2.19_2.26,1.0
come,17415774_e_4.82_4.88,1.0
fine,17415780_e_0.64_0.69,1.0
organizzare,17415780_e_1.35_1.47,1.0
mantenere,17415780_e_2.01_2.06,1.0
locale,17415780_e_4.19_4.39,1.0
determinare,17415780_e_6.19_6.26,1.0
delle,17415780_e_7.11_7.18,1.0
donne,17415782_e_0.85_0.98,1.0
introdurre,17415785_e_2.8_2.84,0.0
forme,17415785_e_3.1_3.15,1.0
progettazione,17415785_e_5.34_5.44,1.0
educatore,17415789_e_5.41_5.65,1.0
Avere,17415793_e_0.71_0.85,1.0
nell'istruzione,17415796_e_4.18_4.21,0.0
credere,17415797_e_5.13_5.19,1.0
Vendere,17415803_e_1.8_1.87,1.0
pelle,17415803_e_2.29_2.4,1.0
impermeabile,17415804_e_2.65_2.74,1.0
viene,17415805_e_2.55_2.59,1.0
ritornare,17415807_e_3.04_3.1,1.0
fatturazione,17415810_e_1.83_1.91,1.0
avvenire,17415810_e_7.69_7.72,1.0
nelle,17415811_e_1.33_1.39,1.0
ne,17415811_e_2.76_2.8,1.0
margine,17415812_e_3.94_4.05,1.0
Inciampare,17415814_e_1.31_1.34,1.0
scale,17415815_e_1.6_1.72,1.0
decidere,17415822_e_3.34_3.41,1.0
pubblicare,17415822_e_4.09_4.13,1.0
Validazione,17415825_e_1.45_1.52,1.0
come,17415832_e_4.76_4.8,1.0
alzare,17415835_e_5.72_5.84,1.0
Murare,17415838_e_0.97_1.02,1.0
contenere,17415843_e_1.59_1.63,1.0
materiale,17415843_e_2.05_2.12,1.0
promozione,17415843_e_4.85_4.9,1.0
materiale,17415843_e_5.45_5.49,1.0
illegale,17415843_e_5.97_6.11,1.0
conoscere,17415844_e_2.48_2.54,1.0
amore,17415844_e_7.66_7.7,0.0
L'invenzione,17415849_e_1.54_1.6,1.0
mentre,17415850_e_6.39_6.48,0.0
nelle,17415851_e_3.74_3.83,1.0
come,17415851_e_7.48_7.54,1.0
autore,17415852_e_2.34_2.4,1.0
spettatore,17415852_e_4.96_5.02,1.0
fiore,17415853_e_5.98_6.09,0.0
future,17415862_e_6.17_6.23,1.0
quelle,17415862_e_6.88_6.93,0.0
extravergine,17415864_e_1.96_2.03,1.0
corriere,17415867_e_1.13_1.17,1.0
Fare,17415881_e_0.94_1.02,1.0
promuovere,17415882_e_3.17_3.2,1.0
Internazionale,17415882_e_7.88_7.94,1.0
delimitazione,17415884_e_6.22_6.28,1.0
assieme,17415885_e_1.29_1.34,1.0
madre,17415885_e_1.92_1.97,1.0
creare,17415930_e_1.49_1.54,1.0
come,17415930_e_3.03_3.1,1.0
leggere,17415930_e_3.52_3.56,0.0
scrivere,17415930_e_4.08_4.18,0.0
partecipare,17415930_e_5.23_5.26,0.0
bene,17415931_e_4.2_4.27,1.0
professore,17415931_e_7.78_7.83,1.0
belle,17415931_e_8.14_8.2,1.0
Scipione,17415931_e_9.16_9.2,1.0
ordine,17415933_e_3.46_3.56,1.0
caricarle,17415933_e_4.84_4.91,1.0
portarle,17415933_e_6.56_6.59,1.0
federazione,17415967_e_2.01_2.04,1.0
internazionale,17415967_e_2.62_2.7,1.0
Guardare,17416001_e_0.66_0.8,1.0
padre,17416009_e_6.33_6.44,1.0
avere,17416010_e_2.69_2.78,1.0
altre,17416011_e_2.07_2.13,0.0
essere,17416011_e_5.64_5.67,0.0
come,17416044_e_4.58_4.62,1.0
Utilizzare,17416045_e_0.83_0.92,1.0
alle,17416045_e_3.12_3.2,1.0
persone,17416045_e_3.6_3.65,1.0
spedizione,17416047_e_4.99_5.1,1.0
essere,17416047_e_7.7_7.86,1.0
allenatore,17416056_e_1.32_1.4,1.0
essere,17416056_e_1.9_1.94,0.0
interinale,17416057_e_4.42_4.68,1.0
come,17416069_e_3.82_3.89,0.0
carne,17416069_e_6.2_6.31,1.0
comprarne,17416071_e_3.82_3.85,1.0
passare,17416072_e_1.07_1.13,0.0
sempre,17416072_e_3.08_3.14,0.0
essere,17416073_e_5.14_5.2,1.0
applicazione,17415775_e_3.18_3.53,1.0
strutturale,17415785_e_6.67_6.71,1.0
come,20020338_e_4.21_4.26,1.0
come,38052724_e_2.49_2.54,1.0
come,19997258_e_2.81_2.85,1.0
come,19979573_e_3.15_3.2,1.0
come,20050628_e_2.81_3.04,1.0
come,33951522_e_2.28_2.32,1.0
nome,19895803_e_3.72_3.81,1.0
come,20327434_e_3.99_4.03,1.0
come,38261175_e_4.97_5.02,1.0
come,19457036_e_3.38_3.41,1.0
come,20302903_e_4.66_4.69,0.0
come,20076385_e_3.44_3.48,1.0
come,30640525_e_2.86_2.89,0.0
le,31902779_e_2.22_2.27,1.0
accessibile,26970001_e_6.33_6.38,1.0
convenzionale,20074157_e_2.66_2.77,1.0
le,21824094_e_2.43_2.49,1.0
le,20329854_e_4.9_4.95,1.0
le,19665667_e_4.13_4.21,1.0
le,20295369_e_3.47_3.52,1.0
le,20320658_e_0.83_0.92,1.0
imperiale,20089148_e_5.67_6.02,1.0
presbiterale,20239930_e_4.67_5.19,1.0
come,20245197_e_3.44_3.52,1.0
originale,27634534_e_3.77_4.47,1.0
come,19458414_e_3.51_3.58,1.0
come,17648343_e_2.56_2.61,1.0
prime,20072347_e_2.64_2.68,0.0
ferme,18299626_e_3.72_3.79,1.0
dirigenziale,25447501_e_9.25_9.562,1.0
regime,27014284_e_1.02_1.08,1.0
come,26851031_e_6.07_6.12,1.0
animale,25417294_e_2.14_2.18,1.0
ultime,20014834_e_4.08_4.2,1.0
come,20286219_e_0.78_0.85,1.0
moltissime,21073460_e_3.35_3.4,1.0
come,20258607_e_5.64_5.68,1.0
candele,17988704_e_6.16_6.36,1.0
pochissime,28470652_e_4.68_4.73,1.0
come,19984847_e_6.12_6.16,1.0
monovolume,20272177_e_2.78_2.97,1.0
prime,20046812_e_1.42_1.49,1.0
